"Country","NUE.Country","NUE.NUE","Production_Mt","N_Output_Mt","N_Inputs_Mt","N_Losses_Mt"
"China","China",0.262367378,99.2653048506808,1.98530609701362,26.0439777600438,24.0586716630302
"India","India",0.249920897,69.5577294701824,1.39115458940366,17.3839301424713,15.9927755530677
"United States of America","USA",0.507989461,55.1267934162578,1.10253586832516,28.0038300741831,26.901294205858
"Russian Federation","RussianFed",0.618786815,46.0224051279287,0.920448102558582,28.4780574877507,27.5576093851921
"France","France",0.741859905,37.2725746472853,0.745451492945708,27.6510286869405,26.9055771939948
"Canada","Canada",0.503382906,25.2636696528963,0.505273393057926,12.7172994460989,12.212026053041
"Germany","Germany",0.458604324,23.8182383185947,0.476364766371894,10.92314708297,10.4467823165981
"Pakistan","Pakistan",0.199840916,20.8973325507049,0.4179466510141,4.17614207888949,3.75819542787539
"Turkey","Turkey",0.422578931,20.8322372879522,0.416644745759044,8.8032645634812,8.38661981772216
"Australia","Australia",0.540884848,19.301615089996,0.386032301799921,10.439951144107,10.0539188423071
